date,value,source,series_id
2023-09-01,13874,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-10-01,15066,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-11-01,15708,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-12-01,11897,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-01-01,10898,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-02-01,13390,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-03-01,12894,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-04-01,13557,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-05-01,15860,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-06-01,12576,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-07-01,16362,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-08-01,14770,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-09-01,14815,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-10-01,17862,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-11-01,15824,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2024-12-01,14228,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-01-01,13157,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-02-01,16109,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-03-01,15633,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-04-01,14488,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-05-01,16657,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-06-01,16392,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-07-01,17770,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-08-01,15199,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-09-01,18365,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-10-01,17201,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-11-01,18324,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2025-12-01,14787,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
